Fecha,Predicción
2015-03-27,1380
2015-03-28,600
2015-03-29,10
2015-03-30,1381
2015-03-31,1562
2015-01-04,390
2015-02-04,2
2015-03-04,2
2015-04-04,564
2015-05-04,698
2015-06-04,729
2015-07-04,726
2015-08-04,776
2015-09-04,839
2015-10-04,827
2015-11-04,758
2015-12-04,739
2015-04-13,789
2015-04-14,979
2015-04-15,1113
2015-04-16,1113
2015-04-17,1113
2015-04-18,297
2015-04-19,3
2015-04-20,740
2015-04-21,982
2015-04-22,1113
2015-04-23,1119
2015-04-24,1134
2015-04-25,377
2015-04-26,4
2015-04-27,888
2015-04-28,1287
2015-04-29,1456
2015-04-30,1753
2015-01-05,0
2015-02-05,542
2015-03-05,607
2015-04-05,758
2015-05-05,720
2015-06-05,777
2015-07-05,773
2015-08-05,799
2015-09-05,716
2015-10-05,755
2015-11-05,787
2015-12-05,787
2015-05-13,1112
2015-05-14,1113
2015-05-15,1113
2015-05-16,340
2015-05-17,2
2015-05-18,0
2015-05-19,979
2015-05-20,1113
2015-05-21,1113
2015-05-22,1113
2015-05-23,357
2015-05-24,2
2015-05-25,749
2015-05-26,1094
2015-05-27,1299
2015-05-28,1369
2015-05-29,1609
2015-05-30,742
2015-05-31,10
2015-01-06,608
2015-02-06,701
2015-03-06,747
2015-04-06,744
2015-05-06,770
2015-06-06,559
2015-07-06,725
2015-08-06,0
2015-09-06,827
2015-10-06,836
2015-11-06,886
2015-12-06,827
2015-06-13,374
2015-06-14,1
2015-06-15,0
2015-06-16,978
2015-06-17,1113
2015-06-18,1113
2015-06-19,1113
2015-06-20,342
2015-06-21,1
2015-06-22,742
2015-06-23,999
2015-06-24,1134
2015-06-25,1183
2015-06-26,1254
2015-06-27,511
2015-06-28,4
2015-06-29,3
2015-06-30,1738
2015-01-07,660
2015-02-07,661
2015-03-07,634
2015-04-07,706
2015-05-07,739
2015-06-07,820
2015-07-07,724
2015-08-07,879
2015-09-07,811
2015-10-07,849
2015-11-07,678
2015-12-07,759
2015-07-13,786
2015-07-14,979
2015-07-15,1113
2015-07-16,1113
2015-07-17,1113
2015-07-18,337
2015-07-19,2
2015-07-20,2
2015-07-21,981
2015-07-22,1113
2015-07-23,1119
2015-07-24,1135
2015-07-25,396
2015-07-26,4
2015-07-27,897
2015-07-28,1291
2015-07-29,1464
2015-07-30,1764
2015-07-31,1814
2015-01-08,610
2015-02-08,385
2015-03-08,816
2015-04-08,795
2015-05-08,844
2015-06-08,796
2015-07-08,8
2015-08-08,586
2015-09-08,754
2015-10-08,899
2015-11-08,978
2015-12-08,768
2015-08-13,1112
2015-08-14,1112
2015-08-15,349
2015-08-16,3
2015-08-17,0
2015-08-18,980
2015-08-19,1113
2015-08-20,1113
2015-08-21,1113
2015-08-22,348
2015-08-23,2
2015-08-24,747
2015-08-25,1068
2015-08-26,1227
2015-08-27,1304
2015-08-28,1500
2015-08-29,641
2015-08-30,12
2015-08-31,1615
2015-01-09,696
2015-02-09,723
2015-03-09,761
2015-04-09,796
2015-05-09,439
2015-06-09,688
2015-07-09,833
2015-08-09,956
2015-09-09,847
2015-10-09,958
2015-11-09,856
2015-12-09,748
2015-09-13,2
2015-09-14,790
2015-09-15,980
2015-09-16,1113
2015-09-17,1113
2015-09-18,1113
2015-09-19,330
2015-09-20,2
2015-09-21,741
2015-09-22,989
2015-09-23,1118
2015-09-24,1134
2015-09-25,1195
2015-09-26,395
2015-09-27,4
2015-09-28,992
2015-09-29,1441
2015-09-30,1855
2015-01-10,528
2015-02-10,644
2015-03-10,644
2015-04-10,777
2015-05-10,880
2015-06-10,797
2015-07-10,846
2015-08-10,797
2015-09-10,875
2015-10-10,552
2015-11-10,699
2015-12-10,1
2015-10-13,981
2015-10-14,1112
2015-10-15,1113
2015-10-16,1113
2015-10-17,332
2015-10-18,2
2015-10-19,743
2015-10-20,979
2015-10-21,1113
2015-10-22,1113
2015-10-23,1118
2015-10-24,350
2015-10-25,6
2015-10-26,758
2015-10-27,1185
2015-10-28,1385
2015-10-29,1522
2015-10-30,1890
2015-10-31,687
2015-01-11,354
2015-02-11,2
2015-03-11,603
2015-04-11,498
2015-05-11,682
2015-06-11,856
2015-07-11,456
2015-08-11,588
2015-09-11,806
2015-10-11,864
2015-11-11,820
2015-12-11,875
2015-11-13,1114
2015-11-14,340
2015-11-15,5
2015-11-16,0
2015-11-17,981
2015-11-18,1113
2015-11-19,1114
2015-11-20,1114
2015-11-21,334
2015-11-22,2
2015-11-23,768
2015-11-24,1016
2015-11-25,1182
2015-11-26,1232
2015-11-27,1407
2015-11-28,735
2015-11-29,10
2015-11-30,1882
2015-01-12,1151
2015-02-12,954
2015-03-12,959
2015-04-12,1116
2015-05-12,847
2015-06-12,938
2015-07-12,1094
2015-08-12,3
2015-09-12,632
2015-10-12,1241
2015-11-12,1036
2015-12-12,561
2015-12-13,6
2015-12-14,1232
2015-12-15,1610
2015-12-16,1623
2015-12-17,1602
2015-12-18,1670
2015-12-19,541
2015-12-20,2
2015-12-21,1236
2015-12-22,1658
2015-12-23,1694
2015-12-24,1527
2015-12-25,2
2015-12-26,542
2015-12-27,4
2015-12-28,1598
2015-12-29,2348
2015-12-30,2311
2015-12-31,946
2016-01-01,2
2016-02-01,295
2016-03-01,282
2016-04-01,252
2016-05-01,420
2016-06-01,455
2016-07-01,425
2016-08-01,557
2016-09-01,519
2016-10-01,488
2016-11-01,1
2016-12-01,565
2016-01-13,950
2016-01-14,951
2016-01-15,953
2016-01-16,282
2016-01-17,1
2016-01-18,702
2016-01-19,891
2016-01-20,953
2016-01-21,954
2016-01-22,955
2016-01-23,283
2016-01-24,1
2016-01-25,708
